,2018 Trahan,2018 Trahan %,2018 Green,2018 Green %,2018 Mullen,2018 Mullen %,2018 Other,2020 (p) Trahan,2020 (p) Others,2020 Trahan,2020 Trahan %,2020 Others,2020 Others %,Town,Cong_diff_Dem
26,2707,0.5074990626171728,2238,0.41957255343082117,246,0.04611923509561305,143,1848,264,5138,0.7112403100775194,2086,0.28875968992248063,Lunenburg,0.2037412474603466
27,8807,0.6062921657717196,4470,0.3077240809582817,863,0.0594107118270687,386,5875,1041,14423,0.7475768413414192,4870,0.25242315865858084,Marlborough,0.1412846755696996
28,3219,0.5879452054794521,1161,0.21205479452054796,986,0.18009132420091326,109,2716,341,5394,0.7928854916948405,1409,0.20711450830515948,Maynard,0.2049402862153884
29,9981,0.5601953190772857,6693,0.37565246674524333,645,0.03620138070382219,498,6331,1202,18227,0.6984595340282036,7869,0.30154046597179646,Methuen,0.1382642149509179
30,2488,0.450806305490125,2793,0.5060699402065592,169,0.03062148940025367,69,1823,259,5031,0.68430359085963,2321,0.31569640914036995,Pepperell,0.23349728536950498
31,1445,0.5146011396011396,1149,0.4091880341880342,131,0.04665242165242165,83,1060,143,2617,0.7040624159268227,1100,0.2959375840731773,Shirley,0.1894612763256831
32,2552,0.6271811255836814,1134,0.27869255345293686,290,0.07127058245269108,93,1971,298,3758,0.752051230738443,1239,0.24794876926155693,Stow,0.1248701051547616
33,946,0.6510667584308327,357,0.24569855471438404,108,0.0743289745354439,42,628,166,1384,0.7521739130434782,456,0.24782608695652175,Sudbury,0.10110715461264552
34,1805,0.44711419370819916,2009,0.4976467674015358,142,0.0351746346296755,81,1214,166,3658,0.6656960873521383,1837,0.3343039126478617,Townsend,0.2185818936439391
35,3089,0.562761887411186,2155,0.3926033885953726,147,0.026780834396064858,98,1907,280,5335,0.7016044187269858,2269,0.2983955812730142,Tyngsborough,0.1388425313157997
36,7703,0.6492751180040458,3697,0.31161496965610247,267,0.022505057316250843,197,4912,651,11797,0.7668855229799129,3586,0.2331144770200871,Westford,0.11761040497586706
37,1808,0.4581855043081602,1841,0.46654840344652815,191,0.04840344652812975,106,1193,196,3703,0.6943558972435777,1630,0.3056441027564223,Westminster,0.23617039293541753
38,1240,0.4537138675448225,1292,0.47274057811928283,128,0.04683497987559458,73,739,97,2669,0.6775831429296776,1270,0.3224168570703224,Winchendon,0.22386927538485507
39,173175,0.6042752012505975,93445,0.3260660960350056,12572,0.043868617468586765,7391,115142,20047,286896,0.7390226939027845,101314,0.2609773060972154,Total,0.134747492652187
